id;name;link;specialization;films_years;description;path_to_folder
4840;Бёрр Стирс;https://www.kinopoisk.ru/name/31707;Режиссер,Актер,Сценарист,Продюсер;23, 1988 — 2021;Двойная жизнь Чарли Сан-Клауда,Как отделаться от парня за 10 дней,Папе снова 17,Криминальное чтиво,Бешеные псы,Новая норма,Секс в другом городе,Дурман,Шелковые сети,Большая любовь;actors_usa/4840
17512;Кори Столл;https://www.kinopoisk.ru/name/402519;Актер;84, 1990 — 2024;Ложь во спасение,Золото,Человек-муравей,Человек на Луне,Счастливое число Слевина,Карточный домик,Сцены из супружеской жизни,Миллиарды,Скорая помощь,Родина;actors_usa/17512
9927;Тим Эслин;https://www.kinopoisk.ru/name/1513063;Актер,Режиссер,Продюсер,Сценарист,Монтажер;10, 2000 — 2019;C.S.I. Место преступления,Большая любовь;actors_usa/9927
48532;Ноэль Гульеми;https://www.kinopoisk.ru/name/9690;Актер,Продюсер,Режиссер;228, 1973 — 2025;Темный рыцарь: Возрождение легенды,Пока не сыграл в ящик,Тренировочный день,Форсаж,Брюс Всемогущий,Секретные материалы,Менталист,Кости,Ходячие мертвецы,Щит;actors_usa/48532
27846;Didi Benami;https://www.kinopoisk.ru/name/2006637;Актриса;7, 2012 — 2017;;actors_usa/27846
12434;Тони Хоук;https://www.kinopoisk.ru/name/1302;Актер,Продюсер;229, 1986 — 2023;Короли Догтауна,Хаггард,Три икса,C.S.I.: Майами,Дикари,Высшая школа видеоигр,Футболисты,Лучшая охрана;actors_usa/12434
41123;Сиара;https://www.kinopoisk.ru/name/1005131;Актриса,Композитор,Режиссер,Продюсер;144, 2004 — 2023;;actors_usa/41123
56275;Шон Берди;https://www.kinopoisk.ru/name/573750;Актер;9, 2005 — 2019;Их перепутали в роддоме;actors_usa/56275
25367;Мьюзик;https://www.kinopoisk.ru/name/616158;Актер,Композитор;27, 2000 — 2021;;actors_usa/25367
7438;Шон Фэрис;https://www.kinopoisk.ru/name/49085;Актер,Продюсер;53, 1999 — 2023;Неугасающий,Потерянный Валентин,Никогда не сдавайся,Перл-Харбор,Переходный возраст,Сверхъестественное,Холм одного дерева,Милые обманщицы,Грабь награбленное;actors_usa/7438
37344;Ник Пиццолатто;https://www.kinopoisk.ru/name/2470878;Сценарист,Актер,Продюсер,Режиссер;10, 2011 — 2025;Настоящий детектив,Убийство;actors_usa/37344
22652;Анджела Фэйт;https://www.kinopoisk.ru/name/380013;Актриса;19, 1992 — 2006;;actors_usa/22652
52319;Гэттлин Гриффит;https://www.kinopoisk.ru/name/235759;Актер,Режиссер,Сценарист,Монтажер;37, 2002 — 2024;Подмена,День труда,Как я встретил вашу маму,Пацаны,Сверхъестественное,Мыслить как преступник,Касл;actors_usa/52319
30632;Крис Дж. Келли;https://www.kinopoisk.ru/name/1137511;Актер,Продюсер,Сценарист;17, 2001 — 2021;Закон и порядок. Преступное намерение;actors_usa/30632
14902;Дональд Фэйсон;https://www.kinopoisk.ru/name/10137;Актер,Продюсер,Сценарист;148, 1975 — 2023;Вспоминая Титанов,Городские девчонки,Бестолковые,Дела в Нью-Джерси,Авторитет,Клиника,Фелисити,Бесконечный поезд,Рэй Донован,Мой питомец — псих;actors_usa/14902
20104;Кейти Лотц;https://www.kinopoisk.ru/name/1145180;Актриса,Режиссер,Сценарист,Продюсер;35, 2001 — 2020;Долина смерти,Безумцы,Легион экстраординарных танцоров,Флэш,Стрела;actors_usa/20104
2475;Эль Фаннинг;https://www.kinopoisk.ru/name/32130;Актриса,Продюсер,Режиссер,Сценарист,Художник;109, 1999 — 2022;Трамбо,Фиби в Стране чудес,Малефисента,Дождливый день в Нью-Йорке,Исчезновение Сидни Холла,Потерянная комната,Великая,Доктор Хаус,Мыслить как преступник,Грязные мокрые деньги;actors_usa/2475
33459;Дженна Хэйз;https://www.kinopoisk.ru/name/1077531;Актриса,Режиссер,Продюсер;157, 2001 — 2023;Училки,Медсестры,Порно для всей семьи;actors_usa/33459
44696;Джеймс Занн;https://www.kinopoisk.ru/name/554942;Актер,Продюсер,Режиссер,Сценарист,Оператор,Монтажер;12, 1994 — 2023;Побег;actors_usa/44696
7;Шелли Уинтерс;https://www.kinopoisk.ru/name/84441;Актриса,Продюсер;251, 1943 — 2021;Дневник Анны Франк,Место под солнцем,Ночь охотника,Винчестер 73,Элвис,Отель;actors_usa/7
4846;Дастин Хоффман;https://www.kinopoisk.ru/name/22234;Актер,Продюсер,Режиссер;294, 1955 — 2024;Человек дождя,Мотылек,Голос,Крамер против Крамера,Выпускник,Фарт,Великолепные Медичи,Медичи: Повелители Флоренции,Умерь свой энтузиазм,Симпсоны;actors_usa/4846
17519;Макс Рекордс;https://www.kinopoisk.ru/name/1301970;Актер;14, 2006 — 2016;;actors_usa/17519
48542;Дорон ЖеПол Митчелл;https://www.kinopoisk.ru/name/4688766;Актер;17, 2017 — 2022;;actors_usa/48542
